Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
Shadyside,69,1936.0,210.366347119,1169.0,192.777073325,257.0,104.431795925,33.0,43.2434966209,224.0,101.562788461,9.0,38.6781592116,903.0,173.109791751,767.0,141.141772698
Sheraden,70,1354.0,152.823427524,819.0,137.829604948,92.0,48.1871352126,30.0,31.638584039,62.0,41.8449519059,0.0,24.4948974278,727.0,132.981201678,535.0,111.870460802
South Oakland,71,418.0,93.2630687894,215.0,76.9805170156,2.0,18.6815416922,0.0,20.0,2.0,18.6815416922,0.0,20.0,213.0,75.538069872,203.0,69.2964645563
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1385.0,198.736005797,927.0,171.735261376,118.0,60.0166643525,6.0,24.9198715887,112.0,60.0166643525,10.0,28.0891438104,799.0,165.659288904,458.0,117.004273426
South Side Slopes,74,1053.0,134.346566759,564.0,111.157545853,57.0,39.5474398666,7.0,26.8514431641,50.0,38.1051177666,0.0,26.4575131106,507.0,107.046718773,489.0,94.752308679
Spring Garden,75,272.0,58.0,141.0,43.1393092202,33.0,19.1049731745,30.0,19.1049731745,3.0,11.1803398875,0.0,14.1421356237,108.0,39.6232255123,131.0,47.3814309619
Spring Hill-City View,76,639.0,104.752088285,331.0,89.2748564826,91.0,52.163205423,18.0,24.4948974278,73.0,48.3321838944,0.0,17.3205080757,240.0,74.0945342114,308.0,89.2972563968
Squirrel Hill North,77,1967.0,153.570830563,1097.0,155.87494988,258.0,74.1754676425,37.0,37.0135110467,221.0,70.5974503789,0.0,31.6227766016,839.0,144.557946859,870.0,113.11940594
Squirrel Hill South,78,3152.0,235.881326096,1774.0,215.868015231,427.0,131.003816738,42.0,53.2165387827,385.0,124.261820363,0.0,36.0555127546,1347.0,199.205923607,1378.0,186.526137579
St. Clair,79,48,29,17,12,5,7,5,7,0,10,0,10,12,9,31,29
Stanton Heights,80,1697.0,134.361452805,1085.0,135.303362855,268.0,76.1774244774,90.0,40.7676342212,178.0,63.6710295189,0.0,20.0,817.0,127.581346599,612.0,108.027774207
Strip District,81,72,40,64,41,7,11,7,11,0,10,0,10,57,41,8,11
Summer Hill,82,403,41,202,47,46,28,0,10,46,28,0,10,156,41,201,34
Swisshelm Park,83,514,55,366,59,59,27,0,10,59,27,0,10,307,63,148,42
Terrace Village,84,56.0,28.3725219182,13.0,19.8997487421,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,19.8997487421,43.0,30.1496268634
Troy Hill,85,618.0,104.690018626,244.0,63.0317380373,65.0,36.0693775937,8.0,16.4012194669,57.0,36.0693775937,0.0,14.1421356237,179.0,54.4885309033,374.0,101.911726509
Upper Hill,86,513.0,143.352711868,266.0,120.764233116,71.0,69.1375440697,22.0,31.6227766017,49.0,61.6441400297,0.0,17.3205080757,195.0,97.7752524927,247.0,87.9886356299
Upper Lawrenceville,87,594.0,115.952576513,375.0,111.323851892,39.0,43.1508980208,0.0,17.3205080757,39.0,43.1508980208,0.0,17.3205080757,336.0,99.9249718539,219.0,59.0338885726
West End,88,35,23,32,23,0,10,0,10,0,10,0,10,32,23,3,6
West Oakland,89,204.0,51.8555686499,105.0,43.4165866922,26.0,29.4278779391,24.0,30.6757233004,2.0,11.1803398875,0.0,14.1421356237,79.0,38.2099463491,99.0,39.1152144312
Westwood,90,973.0,102.552425617,642.0,101.41498903,60.0,32.6955654485,0.0,14.1421356237,60.0,32.6955654485,0.0,14.1421356237,582.0,99.9049548321,331.0,72.470683728
Windgap,91,537.0,87.4585616163,300.0,81.8413098624,19.0,19.8494332413,0.0,14.1421356237,19.0,19.8494332413,0.0,14.1421356237,281.0,79.8811617342,237.0,60.4648658313
